state,x,y
Jammu & kashmir,-204,375
Ladakh,-137,384
Punjab,-200,280
Himachal pradesh,-149,313
Haryana,-175,236
Uttrakhand,-91,263
Delhi,-145,214
Rajasthan,-251,168
Uttar pradesh,-74,186
Bihar,75,145
Gujarat,-294,65
Madhya pradesh,-137,55
Chattisgarh,-14,24
Jharkhand,67,78
West bengal,134,77
Odisha,53,-6
Maharashtra,-209,-60
Karnataka,-194,-196
Andhra pradesh,-98,-129
Kerala,-165,-317
Tamil nadu,-113,-294
Arunachal pradesh,312,249
Assam,276,170
Sikkim,147,201
Tripura,252,96
Manipur,305,136
Nagaland,324,172
Maizoram,289,89
Meghalaya,230,146
Goa,-230,-170
